l2633,u314,KILLED
l1180,u314,KILLED
u780,u314,KILLED
l2546,u314,KILLED
u578,u314,KILLED
u1317,u314,KILLED
l379,u314,KILLED
l3436,u314,KILLED
u521,u314,KILLED
l544,u314,KILLED
l2623,u314,KILLED
u1403,u314,KILLED
u540,u314,KILLED
l3899,u314,KILLED
l2227,u314,KILLED
l2854,u314,KILLED
l3454,u314,KILLED
l3930,u314,KILLED
l748,u314,KILLED
u452,u314,KILLED
l871,u314,KILLED
l3612,u314,KILLED
l2740,u314,KILLED
u382,u314,KILLED
u957,u314,KILLED
l3968,u314,KILLED
l3506,u314,KILLED
u1295,u314,KILLED
u532,u314,KILLED
u1671,u314,KILLED
l396,u314,KILLED
l3234,u314,KILLED
u666,u314,KILLED
l380,u314,KILLED
l3492,u314,KILLED
l873,u314,KILLED
l397,u314,KILLED
l3657,u314,KILLED
l3940,u314,KILLED
l3204,u314,KILLED
l3560,u314,KILLED
u1373,u314,KILLED
l398,u314,KILLED
u1046,u314,KILLED
u1346,u314,KILLED
l3438,u314,KILLED
l3505,u314,KILLED
u1393,u314,KILLED
u538,u314,KILLED
l847,u314,KILLED
u464,u314,KILLED
l870,u314,KILLED
l1805,u314,KILLED
l431,u314,KILLED
l2335,u314,KILLED
l601,u314,KILLED
l837,u314,KILLED
l537,u314,KILLED
l2336,u314,KILLED
l732,u314,KILLED
l3618,u314,KILLED
l3651,u314,KILLED
l2849,u314,KILLED
l3891,u314,KILLED
l903,u314,KILLED
l592,u314,KILLED
l744,u314,KILLED
l3663,u314,KILLED
l375,u314,KILLED
l3456,u314,KILLED
l3213,u314,KILLED
l2409,u314,KILLED
l1425,u314,KILLED
u523,u314,KILLED
u458,u314,KILLED
l3907,u314,KILLED
l2559,u314,KILLED
u675,u314,KILLED
u1326,u314,KILLED
u1626,u314,KILLED
l2544,u314,KILLED
l3377,u314,KILLED
l937,u314,KILLED
l2250,u314,KILLED
l1794,u314,KILLED
l3219,u314,KILLED
l1341,u314,KILLED
l1688,u314,KILLED
l2094,u314,KILLED
l2716,u314,KILLED
l1254,u314,KILLED
l540,u314,KILLED
l1429,u314,KILLED
l802,u314,KILLED
l3478,u314,KILLED
l3893,u314,KILLED
l586,u314,KILLED
u670,u314,KILLED
l2600,u314,KILLED
u1533,u314,KILLED
u1378,u314,KILLED
l2212,u314,KILLED
l2057,u314,KILLED
l3209,u314,KILLED
l3440,u314,KILLED
l2725,u314,KILLED
l366,u314,KILLED
l3197,u314,KILLED
u1493,u314,KILLED
u1506,u314,KILLED
u679,u314,KILLED
l1225,u314,KILLED
u1348,u314,KILLED
u477,u314,KILLED
l3501,u314,KILLED
l382,u314,KILLED
u546,u314,KILLED
l2620,u314,KILLED
l3548,u314,KILLED
l407,u314,KILLED
l801,u314,KILLED
u516,u314,KILLED
u465,u314,KILLED
l3195,u314,KILLED
l685,u314,KILLED
l1227,u314,KILLED
l791,u314,KILLED
u1003,u314,KILLED
l2348,u314,KILLED
l1174,u314,KILLED
u1388,u314,KILLED
u543,u314,KILLED
u572,u314,KILLED
l383,u314,KILLED
u1522,u314,KILLED
u1331,u314,KILLED
u1051,u314,KILLED
l3429,u314,KILLED
l3185,u314,KILLED
u1480,u314,KILLED
u1495,u314,KILLED
u427,u314,KILLED
l2330,u314,KILLED
l2215,u314,KILLED
l2377,u314,KILLED
l3189,u314,KILLED
l2211,u314,KILLED
l3162,u314,KILLED
l543,u314,KILLED
u1513,u314,KILLED
l2862,u314,KILLED
u1057,u314,KILLED
l727,u314,KILLED
l760,u314,KILLED
u391,u314,KILLED
