ID,User_ID,Game_ID,Points,Role,Active
-1,-1,-1,1482,PLAYER,0
3409,3,928,0,ATTACKER,1
3410,4,928,0,DEFENDER,1
3411,100,928,0,OBSERVER,1
3412,119,928,0,DEFENDER,1
3413,120,928,0,DEFENDER,1
3414,121,928,0,DEFENDER,1
3415,122,928,0,DEFENDER,1
3416,3,929,0,ATTACKER,1
3417,4,929,0,DEFENDER,1
3418,100,929,0,OBSERVER,1
3419,119,929,0,DEFENDER,1
3420,120,929,0,DEFENDER,1
3421,121,929,0,DEFENDER,1
3422,122,929,0,DEFENDER,1
3423,114,929,0,ATTACKER,1
3424,115,929,0,ATTACKER,1
3425,116,929,0,ATTACKER,1
3426,117,929,0,ATTACKER,1
3427,3,930,0,ATTACKER,1
3428,4,930,0,DEFENDER,1
3429,100,930,0,OBSERVER,1
3430,119,930,0,DEFENDER,1
3431,120,930,0,DEFENDER,1
3432,121,930,0,DEFENDER,1
3433,122,930,0,DEFENDER,1
3434,123,930,0,DEFENDER,1
3435,114,930,0,ATTACKER,1
3436,115,930,0,ATTACKER,1
3437,116,930,0,ATTACKER,1
3438,117,930,0,ATTACKER,1
3439,118,930,0,ATTACKER,1
3440,3,931,0,ATTACKER,1
3441,4,931,0,DEFENDER,1
3442,100,931,0,OBSERVER,1
3443,3,932,0,ATTACKER,1
3444,4,932,0,DEFENDER,1
3445,100,932,0,OBSERVER,1
3446,3,933,0,ATTACKER,1
3447,4,933,0,DEFENDER,1
3448,100,933,0,OBSERVER,1
3449,119,933,0,DEFENDER,1
3450,120,933,0,DEFENDER,1
3451,121,933,0,DEFENDER,1
3452,122,933,0,DEFENDER,1
3453,123,933,0,DEFENDER,1
3454,114,933,0,ATTACKER,1
3455,115,933,0,ATTACKER,1
3456,116,933,0,ATTACKER,1
3457,117,933,0,ATTACKER,1
3458,118,933,0,ATTACKER,1
3459,3,934,0,ATTACKER,1
3460,4,934,0,DEFENDER,1
3461,100,934,0,OBSERVER,1
3462,119,934,0,DEFENDER,1
3463,120,934,0,DEFENDER,1
3464,121,934,0,DEFENDER,1
3465,122,934,0,DEFENDER,1
3466,123,934,0,DEFENDER,1
3467,114,934,0,ATTACKER,1
3468,115,934,0,ATTACKER,1
3469,116,934,0,ATTACKER,1
3470,117,934,0,ATTACKER,1
3471,118,934,0,ATTACKER,1
3472,3,935,0,ATTACKER,1
3473,4,935,0,DEFENDER,1
3474,100,935,0,OBSERVER,1
3475,119,935,0,DEFENDER,1
3476,120,935,0,DEFENDER,1
3477,121,935,0,DEFENDER,1
3478,122,935,0,DEFENDER,1
3479,123,935,0,DEFENDER,1
3480,114,935,0,ATTACKER,1
3481,115,935,0,ATTACKER,1
3482,116,935,0,ATTACKER,1
3483,117,935,0,ATTACKER,1
3484,118,935,0,ATTACKER,1
3485,3,936,0,ATTACKER,1
3486,4,936,0,DEFENDER,1
3487,100,936,0,OBSERVER,1
3488,119,936,0,DEFENDER,1
3489,120,936,0,DEFENDER,1
3490,121,936,0,DEFENDER,1
3491,122,936,0,DEFENDER,1
3492,123,936,0,DEFENDER,1
3493,114,936,0,ATTACKER,1
3494,115,936,0,ATTACKER,1
3495,116,936,0,ATTACKER,1
3496,117,936,0,ATTACKER,1
3497,118,936,0,ATTACKER,1
3498,3,937,0,ATTACKER,1
3499,4,937,0,DEFENDER,1
3500,100,937,0,OBSERVER,1
3501,119,937,0,DEFENDER,1
3502,120,937,0,DEFENDER,1
3503,121,937,0,DEFENDER,1
3504,122,937,0,DEFENDER,1
3505,123,937,0,DEFENDER,1
3506,114,937,0,ATTACKER,1
3507,115,937,0,ATTACKER,1
3508,116,937,0,ATTACKER,1
3509,117,937,0,ATTACKER,1
3510,118,937,0,ATTACKER,1
3511,3,938,0,ATTACKER,1
3512,4,938,0,DEFENDER,1
3513,100,938,0,OBSERVER,1
3514,119,938,0,DEFENDER,1
3515,120,938,0,DEFENDER,1
3516,121,938,0,DEFENDER,1
3517,122,938,0,DEFENDER,1
3518,123,938,0,DEFENDER,1
3519,114,938,0,ATTACKER,1
3520,115,938,0,ATTACKER,1
3521,116,938,0,ATTACKER,1
3522,117,938,0,ATTACKER,1
3523,118,938,0,ATTACKER,1
3524,3,939,0,ATTACKER,1
