ID,Class_ID,Level,Timestamp,Creator_ID,Prize,Defender_Value,Attacker_Value,Coverage_Goal,Mutant_Goal,Attackers_Needed,Defenders_Needed,Start_Time,Finish_Time,MaxAssertionsPerTest,MutantValidator,ChatEnabled,Attackers_Limit,Defenders_Limit,State,CurrentRound,FinalRound,ActiveRole,Mode,RequiresValidation,IsAIDummyGame,HasKillMap,CapturePlayersIntention,Puzzle_ID,EquivalenceThreshold,Game_Duration_Minutes,Classroom_ID,Invite_Only,May_Choose_Role
-1,,HARD,2026-01-31 11:51:20,,,100,100,,,0,0,2026-01-31 11:51:22,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,10080,,0,1
100,100,HARD,2026-01-31 14:14:26,101,1,100,100,1.1,1.1,0,0,2026-01-31 14:14:27,1970-02-02 02:01:01,2,MODERATE,0,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,60,,0,1
101,100,HARD,2026-01-31 14:14:38,101,1,100,100,1.1,1.1,0,0,2026-01-31 14:14:39,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,60,,0,1
102,100,HARD,2026-01-31 14:15:32,101,1,100,100,1.1,1.1,0,0,2026-01-31 14:15:33,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,60,,0,1
103,101,HARD,2026-01-31 14:29:22,101,1,100,100,1,1,0,0,2026-01-31 14:38:05,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
104,101,HARD,2026-01-31 15:12:23,101,1,100,100,1,1,0,0,2026-01-31 15:53:55,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
105,101,HARD,2026-01-31 15:13:56,101,1,100,100,1,1,0,0,2026-01-31 15:13:57,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
106,101,HARD,2026-01-31 15:13:57,101,1,100,100,1,1,0,0,2026-01-31 15:13:58,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
107,101,HARD,2026-01-31 15:13:59,101,1,100,100,1,1,0,0,2026-01-31 15:13:59,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
108,101,HARD,2026-01-31 15:14:00,101,1,100,100,1,1,0,0,2026-01-31 15:14:00,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
109,101,HARD,2026-01-31 15:14:01,101,1,100,100,1,1,0,0,2026-01-31 15:14:02,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
110,101,HARD,2026-01-31 15:55:50,101,1,100,100,1,1,0,0,2026-01-31 15:55:51,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
111,101,HARD,2026-01-31 15:55:51,101,1,100,100,1,1,0,0,2026-01-31 15:55:52,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
112,101,HARD,2026-01-31 15:55:52,101,1,100,100,1,1,0,0,2026-01-31 15:55:53,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
113,101,HARD,2026-01-31 15:55:54,101,1,100,100,1,1,0,0,2026-01-31 15:55:54,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
114,101,HARD,2026-01-31 15:55:55,101,1,100,100,1,1,0,0,2026-01-31 15:55:55,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
115,101,HARD,2026-01-31 15:55:56,101,1,100,100,1,1,0,0,2026-01-31 15:55:56,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
116,101,HARD,2026-01-31 15:55:57,101,1,100,100,1,1,0,0,2026-01-31 15:55:57,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
117,101,HARD,2026-01-31 15:55:58,101,1,100,100,1,1,0,0,2026-01-31 15:55:58,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
118,101,HARD,2026-01-31 15:55:59,101,1,100,100,1,1,0,0,2026-01-31 15:56:00,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
119,101,HARD,2026-01-31 15:56:00,101,1,100,100,1,1,0,0,2026-01-31 15:56:01,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
120,101,HARD,2026-01-31 16:08:30,101,1,100,100,1,1,0,0,2026-01-31 16:08:31,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
121,101,HARD,2026-01-31 16:08:31,101,1,100,100,1,1,0,0,2026-01-31 16:08:32,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
122,101,HARD,2026-01-31 16:08:32,101,1,100,100,1,1,0,0,2026-01-31 16:08:33,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
123,101,HARD,2026-01-31 16:08:34,101,1,100,100,1,1,0,0,2026-01-31 16:08:34,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
124,101,HARD,2026-01-31 16:08:35,101,1,100,100,1,1,0,0,2026-01-31 16:08:35,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
125,101,HARD,2026-01-31 16:08:36,101,1,100,100,1,1,0,0,2026-01-31 16:08:36,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
126,101,HARD,2026-01-31 16:08:37,101,1,100,100,1,1,0,0,2026-01-31 16:08:38,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
127,101,HARD,2026-01-31 16:08:38,101,1,100,100,1,1,0,0,2026-01-31 16:08:39,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
128,101,HARD,2026-01-31 16:08:39,101,1,100,100,1,1,0,0,2026-01-31 16:08:40,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
129,101,HARD,2026-01-31 16:08:40,101,1,100,100,1,1,0,0,2026-01-31 16:08:41,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
130,101,HARD,2026-01-31 16:12:44,101,1,100,100,1,1,0,0,2026-01-31 16:12:45,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
131,101,HARD,2026-01-31 16:12:45,101,1,100,100,1,1,0,0,2026-01-31 16:12:46,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
132,101,HARD,2026-01-31 16:12:46,101,1,100,100,1,1,0,0,2026-01-31 16:12:47,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
133,101,HARD,2026-01-31 16:12:47,101,1,100,100,1,1,0,0,2026-01-31 16:12:48,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
134,101,HARD,2026-01-31 16:12:49,101,1,100,100,1,1,0,0,2026-01-31 16:12:49,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
135,101,HARD,2026-01-31 16:12:50,101,1,100,100,1,1,0,0,2026-01-31 16:12:50,1970-02-02 02:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,30,,0,1
