ID,User_ID,Game_ID,Points,Role,Active
1083,4,315,0,DEFENDER,1
1084,4,314,0,DEFENDER,1
1085,101,315,0,OBSERVER,1
1086,101,314,0,OBSERVER,1
1087,3,316,0,ATTACKER,1
1088,4,316,0,DEFENDER,1
1089,101,316,0,OBSERVER,1
1090,3,317,0,ATTACKER,1
1091,4,317,0,DEFENDER,1
1092,101,317,0,OBSERVER,1
1093,3,318,0,ATTACKER,1
1094,4,318,0,DEFENDER,1
1095,101,318,0,OBSERVER,1
1096,108,311,0,DEFENDER,1
1097,104,310,0,DEFENDER,1
1098,112,313,0,DEFENDER,1
1099,102,312,0,DEFENDER,1
1100,109,315,0,ATTACKER,1
1101,110,314,0,DEFENDER,1
1102,111,318,0,ATTACKER,1
1103,106,316,0,DEFENDER,1
1104,113,317,0,ATTACKER,1
1105,105,310,0,ATTACKER,1
1106,103,312,0,ATTACKER,1
1107,107,316,0,ATTACKER,1
1108,5,311,0,ATTACKER,1
1109,5,313,0,ATTACKER,1
1110,6,315,0,DEFENDER,1
1111,6,318,0,DEFENDER,1
1112,5,314,0,ATTACKER,1
1113,6,317,0,DEFENDER,1
1114,3,319,0,ATTACKER,1
1115,3,320,0,ATTACKER,1
1116,4,319,0,DEFENDER,1
1117,4,320,0,DEFENDER,1
1118,101,319,0,OBSERVER,1
1119,3,321,0,ATTACKER,1
1120,101,320,0,OBSERVER,1
1121,4,321,0,DEFENDER,1
1122,101,321,0,OBSERVER,1
1123,3,322,0,ATTACKER,1
1124,4,322,0,DEFENDER,1
1125,101,322,0,OBSERVER,1
1126,3,323,0,ATTACKER,1
1127,4,323,0,DEFENDER,1
1128,3,325,0,ATTACKER,1
1129,3,324,0,ATTACKER,1
1130,101,323,0,OBSERVER,1
1131,4,325,0,DEFENDER,1
1132,4,324,0,DEFENDER,1
1133,3,326,0,ATTACKER,1
1134,101,325,0,OBSERVER,1
1135,101,324,0,OBSERVER,1
1136,3,327,0,ATTACKER,1
1137,4,326,0,DEFENDER,1
1138,4,327,0,DEFENDER,1
1139,101,326,0,OBSERVER,1
1140,101,327,0,OBSERVER,1
1141,104,319,0,DEFENDER,1
1142,102,320,2,DEFENDER,1
1143,113,321,0,ATTACKER,1
1144,109,323,0,ATTACKER,1
1145,106,322,0,DEFENDER,1
1146,108,324,0,DEFENDER,1
1147,112,326,0,DEFENDER,1
1148,111,327,0,ATTACKER,1
