ID,Class_ID,Level,Timestamp,Creator_ID,Prize,Defender_Value,Attacker_Value,Coverage_Goal,Mutant_Goal,Attackers_Needed,Defenders_Needed,Start_Time,Finish_Time,MaxAssertionsPerTest,MutantValidator,ChatEnabled,Attackers_Limit,Defenders_Limit,State,CurrentRound,FinalRound,ActiveRole,Mode,RequiresValidation,IsAIDummyGame,HasKillMap,CapturePlayersIntention,Puzzle_ID,EquivalenceThreshold,Game_Duration_Minutes,Classroom_ID,Invite_Only,May_Choose_Role
124,101,HARD,2026-04-12 01:13:02,103,1,100,100,1,1,0,0,2026-04-12 01:13:03,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
125,102,HARD,2026-04-12 01:33:10,103,1,100,100,1,1,0,0,2026-04-12 01:33:10,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
126,101,HARD,2026-04-12 01:33:10,103,1,100,100,1,1,0,0,2026-04-12 01:33:10,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
127,102,HARD,2026-04-12 01:33:10,103,1,100,100,1,1,0,0,2026-04-12 01:33:11,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
128,101,HARD,2026-04-12 02:03:21,103,1,100,100,1,1,0,0,2026-04-12 02:03:21,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
129,102,HARD,2026-04-12 02:03:31,103,1,100,100,1,1,0,0,2026-04-12 02:03:31,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
130,101,HARD,2026-04-12 02:04:02,103,1,100,100,1,1,0,0,2026-04-12 02:04:02,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
131,102,HARD,2026-04-12 02:33:32,103,1,100,100,1,1,0,0,2026-04-12 02:33:32,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
132,101,HARD,2026-04-12 02:33:42,103,1,100,100,1,1,0,0,2026-04-12 02:33:42,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
133,102,HARD,2026-04-12 02:34:12,103,1,100,100,1,1,0,0,2026-04-12 02:34:12,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
